題目,選項A,選項B,選項C,選項D,選項E,選項F,選項G,選項H,選項I,正確答案,配分
"How many of these compile? ```java 18: Comparator<String> c1=(j,k)->0; 19: Comparator<String> c2=(String j,String k)->0; 20: Comparator<String> c3=(var j,String k)->0; 21: Comparator<String> c4=(var j,k)->0; 22: Comparator<String> c5=(var j,var k)->0; ```",0,1,2,3,4,5,,,,D,1
"What is the output of the following application? ```java public class Airplane{ static int start=2; final int end; public Airplane(int x) { x=4; end=x; } public void fly(int distance) { System.out.print(end-start+"" ""); System.out.print(distance); } public static void main(String... start) { new Airplane(10).fly(5); } } ```",2 5,8 5,6 5,The code does not compile.,None of the above,,,,,A,1
Given the code fragment: What is the result? ```java var i=10; var j=5; i+=(j*5+i)/j-2; System.out.println(i); ```,5,11,21,23,15,,,,,E,1
"Given: What is the result? ```java public class Tester{ public static void main(String[] args){ StringBuilder sb=new StringBuilder(5); sb.append(""HOWDY""); sb.insert(0,' '); sb.replace(3,5,""LL""); sb.insert(6,""COW""); sb.delete(2,7); System.out.println(sb.length()); } } ```",5,3,An exception is thrown at runtime.,4,,,,,,D,1
"Given: What is the result? ```java public class StrBldr{ static StringBuilder sb1=new StringBuilder(""yo ""); StringBuilder sb2=new StringBuilder(""hi ""); public static void main(String[] args){ sb1=sb1.append(new StrBldr().foo(new StringBuilder(""hey""))); System.out.println(sb1); } StringBuilder foo(StringBuilder s){ System.out.print(s+"" oh "" +sb2); return new StringBuilder(""ey""); } } ```",oh hi hey,hey oh hi,A compile time error occurs.,hey oh hi yo ey,yo ey,hey oh hi ey,,,,D,1
"Given: What is the output? ```java public class Test{ public void process(byte v){ System.out.println(""Byte value ""+v); } public void process(short v){ System.out.println(""Short value ""+v); } public void process(Object v){ System.out.println(""Object value ""+v); } public static void main(String[] args){ byte x=12; short y=13; new Test().process(x+y);// line 1 } } ```",Object value 25,Byte value 25,Short value 25,The compilation fails due to an error in line 1,,,,,,A,1
Variables declared as which of the following are never permitted in a switch statement? （Choose two）,var,double,int,String,char,Object,,,,"B,F",1
"What is the output of the following application? ```java package planning; public class ThePlan{ var plan=1; plan=plan++ + --plan; if(plan==1){ System.out.print(""Plan A""); }else{ if(plan==2) System.out.print(""Plan B""); }else System.out.print(""Plan C"");} } } ```",Plan A,Plan B,Plan C,The class does not compile,None of the above,,,,,D,1
"Given: What is the result? ```java int i=10; do { for(int j=i/2;j>0;j--){ System.out.print(j+"" ""); } i-=2; }while(i>0); ```",5 4 3 2 1,nothing,5,5 4 3 2 1 4 3 2 1 3 2 1 2 1 1,,,,,,D,1
Which statement about the Elephant program is correct? ```java package stampede; interface Long{ Number length(); } public class Elephant{ public class Trunk implements Long{ public Number length(){ return 6;} //k1 } public class MyTrunk extends Trunk{ //k2 public Integer length(){ return 9;} //k3 } public static void charage(){ System.out.print(new MyTrunk().length()); } public static void main(String[] cute){ new Elephant().charge(); //k4 } } ```,It compiles and prints 6.,The code does not compile because of line k1.,The code does not compile because of line k2.,The code does not compile because of line k3.,The code does not compile because of line k4.,None of the above,,,,F,1
What is the output of the following application? ```java package sports; abstract class Ball{ protected final int size; public Ball(int size){ this.size=size; } } interface Equipment{} public class SoccerBall extends Ball implements Equipment{ public SoccerBall(){ super(5); } public Ball get(){ return this; } public static void main(String[] passes){ var equipment=(Equipment)(Ball)new SoccerBall().get(); System.out.print(((SoccerBall)equipment).size); } } ```,5,The code does not compile due to an invalid cast,The code does not compile due to a different reason,The code compiles but throws a ClassCastException at runtime,,,,,,A,1
"Given: and What is the result? ```java public class Avatar extends GameObject{ public Object[] move(Number x,Number y){ System.out.println(""Move Character""); return super.move(x.intValue(),y.intValue()); } public static void main(String... args) { var character=new Avatar(); character.move(10.0,10.0); character.move(10,10); } } ```",Move Character Move GameObject Move GameObject,Move GameObject` `Move GameObject,Move GameObject Move Character Move GameObject,Move GameObject,,,,,,A,1
"Given: What is the result? ```java public class Menu{ enum Machine{ AUTO(""Truck""),MEDICAL(""Scanner""); private String type; private Machine(String type){ this.type=type; } private void setType(String type){ this.type=type; //line 1 } private String getType() { return type; } } public static void main(String[] args) { Machine.AUTO.setType(""Sedan""); //line 2 for(Machine p:Machine.values()) { System.out.println(p+"": ""+p.getType()); //line 3 } } } ```",The compilation fails due to an error on line 3.,The compilation fails due to an error on line 2.,AUTO: Truck MEDICAL: Scanner,An exception is throw at run time,The compilation fails due to an error on line 1,AUTO: Sedan MEDICAL:Scanner,,,,F,1
Given: Which is true? ```java class Scope{ static int myint=666; public static void main(String[] args){ int myint=myint; System.out.println(myint); } } ```,Code compiles but throws a runtime exception when run.,It prints 666,"The code compiles and runs successfully but with a wrong answer(i.e., a bug).",The code does not compile successfully,,,,,,D,1
Given: and and What is the result? ```java package test; import test.t1.*; import test.t2.*; public class Tester{ public static void main(String[] args){ A obj=new B(); //line 4 System.out.println(obj.x); //line 5 } } ```,The compilation fails due to an error in line 4,17,The compilation fails due to an error in line 2,The compilation fails due to an error in line 3,The compilation fails due to an error in line 1,The compilation fails due to an error in line 5,42,,,G,1
"Given: Which two lines of code when inserted in line 1 correctly modifies instance variables? （Choose two） ```java public class DNASynth{ int aCount; int tCount; int cCount; int gCount; DNASynth(int aCount,int tCount,int c,int g){ // line 1 } int setCCount(int c){ return c; } void setGCount(int gCount){ this.gCount=gCount; } } ```",tCount=tCount;,cCount=setCCount(c);,setCCount(c)=cCount;,aCount=aCount;,setGCount(g);,,,,,"B,E",1
"Given: What is the result? ```java public class Price{ private final double value; public Price(String value){ this(Double.parseDouble(value)); } public Price(double value){ this.value=value; } public Price(){} public double getValue(){ return value;} public static void main(String[] args) { Price p1=new Price(""1.99""); Price p2=new Price(2.99); Price p3=new Price(); System.out.println(p1.getValue()+"",""+p2.getValue()+"",""+p3.getValue()); } } ```","1.99,2.99,0.0","1.99,2.99",The compilation fails,"1.99,2.99,0",,,,,,C,1
"Given: and Assuming that this code compiles correctly, which three statements are true? （Choose three） ```java public class BuilderImpl implements Builder{ @Override public B build(String str){ return new B(str); } } ```",A cannot be abstract.,A is a subtype of B.,B cannot be final.,B is a subtype of A.,B cannot be abstract.,A cannot be final.,,,,"D,E,F",1
Given: and and Which three are correct? （Choose three） ```java Foo f1=new Foo(); Foo f2=new Bar(); Bar b1=new Bar(); List<String> li=new ArrayList<>(); ```,f2.foo(li) prints Bonjour le monde,f1.foo(li) prints Hola Mundo!,f2.foo(li) prints Hola Mundo!,b1.foo(li) prints Hola Mundo!,f2.foo(li) prints Hello world!,b1.foo(li) prints Hello world!,f1.foo(li) prints Bonjour le monde!,f1.foo(li) prints Hello world!,b1.foo(li) prints Bonjour le monde!,"D,E,G",1
"Given: What is the Result? ```java public class Test{ public static void main(String[] args){ AnotherClass ac=new AnotherClass(); SomeClass sc=new AnotherClass(); ac=sc; sc.methodA(); ac.methodA(); } } class SomeClass{ public void methodA(){ System.out.println(""SomeClass#methodA()""); } } class AnotherClass extends SomeClass{ public void methodA(){ System.out.println(""AnotherClass#methodA""); } } ```",A ClassCastException is thrown at runtime.,SomeClass#methodA() AnotherClass#methodA(),AnotherClass#methodA() AnotherClass#methodA(),The compilation fails,AnotherClass#methodA() SomeClass#methodA(),SomeClass#methodA() SomeClass#methodA(),,,,D,1
"Given: and and What is the result? ```java public class Test implements AbilityA,AbilityB{ // line 1 public void action() { System.out.println(""ab action""); } public static void main(S[] args){ AbilityB x=new Test(); //line 2 x.action(); } } ```",The compilation fails on line 1,An exception is thrown at run time,The compilation fails on line 2,a action,ab action,,,,,E,1
Given the enum declaration: Example this code: What code should be written at line 3 to make this code print A? ```java System.out.println(Alphabet.getFirstLetter()); ```,static String getFirstLetter() { return A.toString();},static String getFirstLetter() { return Alphabet.values().toString();},String getFirstLetter() { return A.toString();},final String getFirstLetter() { return A.toString();},,,,,,A,1
Given: Which two statements are valid to be written in this interface? （Choose two） ```java public interface ExampleInterface{} ```,public String method();,"public void methodF(){ System.out.println(""F""); }",public int x;,final void methodE(),"final void methodG(){ System.out.println(""G""); }",private abstract void methodC();,public abstract void methodB();,,,"A,G",1
"Given: and Which statement is true? ```java public class Tester{ public static Person createPeople(){ Person jane=new Person(""Jane""); Person john=new Person(""John"",jane); return jane; } public static Person createPerson(Person person){ person=new Person(""Jack"",person); return person; } public static void main(String[] args) { Person person=createPeople(); // line 1 person=createPerson(person); // line 2 String name=person.toString(); System.out.println(name); } } ```",The memory allocated for John object can be reused at line 1.,The memory allocated for Jack object can be reused at line 2.,The memory allocated for Jane object can be reused at line 2.,The memory allocated for Jane object can be reused at line 1.,,,,,,A,1
"Given: Why does D cause a compilation error? ```java public interface A{ public Iterable a(); } public interface B extends A{ public Collection a(); } public interface C extends A{ public Path a(); } public interface D extends B,C{ } ```",D does not define any method.,D inherits a() only from C.,D inherits a() from B and C but the return types are incompatible.,D extends more than one interface,,,,,,C,1
Given the code fragment: What is the result? ```java 8. public class Test { 9. private final int x=1; 10. static final int y; 11. public Test() { 12. System.out.print(x); 13. System.out.print(y); 14. } 15. public static void main(String args[]) { 16. new Test(); 17. } 18.} ```,The compilation fails at line 13,The compilation fails at line 9,The compilation fails at line 16,1,10,,,,,A,1
Given: Which is true? ```java 1. interface Pastry { 2. void getIngredients(); 3. } 4. abstract class Cookie implements Pastry{} 6. class ChocolateCookie implements Cookie { 7. public void getIngredients(){} 8. } 9. class CoconutChoolateCookie extends ChocolateCookie { 10. void getIngredients(int x){} 11. } ```,The compilation fails due to an error in line 10.,The compilation fails due to an error in line 9.,The compilation fails due to an error in line 4.,The compilation fails due to an error in line 6.,The compilation succeeds,The compilation fails due to an error in line 7.,The compilation fails due to an error in line 2,,,D,1
"Given the following application, which specific type of exception will be printed in the stack trace at runtime? ```java package carnival; public class WhackAnException{ public static void main(String... hammer) { try{ throw new ClassCastException(); }catch(IllegalArgumentException e){ throw new IlleaglArgumentException(); }catch(RuntimeException e){ throw new NullPointerException(); }finally{ throw new RuntimeException(); } } } ```",ClassCastException,IllegalArgumentException,NullPointerException,RuntimeException,The code does not compile.,None of the above,,,,D,1
